"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"+12";"PINHD-1X1";"1X01";"JP3";"PIN HEADER";"";
"1";"-12";"PINHD-1X1";"1X01";"JP4";"PIN HEADER";"";
"2";"100k";"R-EU_0309/V";"0309V";"R2, R4";"RESISTOR, European symbol";"";
"4";"104";"C";"C0805";"C2, C3, C5, C6";"CAPACITOR, European symbol";"";
"4";"150k";"R-EU_0309/V";"0309V";"R3, R5, R8, R10";"RESISTOR, European symbol";"";
"2";"1k";"R-EU_0309/V";"0309V";"R6, R13";"RESISTOR, European symbol";"";
"2";"1k";"TRIM_EU-B64Y";"B64Y";"R1, R11";"POTENTIOMETER";"";
"2";"33pf";"C-EU025-025X050";"C025-025X050";"C1, C4";"CAPACITOR, European symbol";"";
"1";"3v3";"PINHD-1X1";"1X01";"JP1";"PIN HEADER";"";
"2";"51k";"R-EU_0309/V";"0309V";"R7, R12";"RESISTOR, European symbol";"";
"1";"TL072D";"TL072D";"SO08";"IC1";"OP AMP";"";
"1";"gnd";"PINHD-1X1";"1X01";"JP5";"PIN HEADER";"";
"1";"in0";"PINHD-1X1";"1X01";"JP2";"PIN HEADER";"";
"1";"in1";"PINHD-1X1";"1X01";"JP12";"PIN HEADER";"";
"1";"out0";"PINHD-1X1";"1X01";"JP6";"PIN HEADER";"";
"1";"out1";"PINHD-1X1";"1X01";"JP10";"PIN HEADER";"";
